legalRepresentative,qualityRepresentative,license,companyName,area,repositoryAddress,validTillDate,issuingAuthority,registrationAddress,licenseDate,businessScope,companyController
林忆宁,钱高,鄂DA0276432,武汉海之韵商务有限公司,武昌区,武汉市武昌区紫阳路268号,2021-08-17,武汉市武昌区食品药品监督管理局,武汉市武昌区紫阳路268号,20160818,处方药、非处方药（甲类、乙类();中成药、化学药制剂、抗生素制剂、生化药品（不含冷藏冷冻药品）***,杨雪春
***,金敏,鄂CB0276454,湖北益生天济大药房连锁有限公司长虹桥店,武昌区,由湖北益生天济大药房连锁有限公司配送,2021-09-04,武汉市武昌区食品药品监督管理局,武汉市武昌区长虹桥39号（原37-2号）伟业佳苑1栋1层6室,20160905,处方药、非处方药（甲类、乙类）：中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品（除疫苗）、含冷藏药品******,郑红云
谭鸿,胡太松,鄂DA0276455,武汉好联心大药房有限公司,东湖新技术开发区,***,2021-09-04,武汉东湖新技术开发区市场监督管理局,武汉市东湖开发区天际路15号安普顿小镇3幢5-12单元1层29号,20160905,处方药(不含禁止类)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,夏柳平
----,戴杏娟,鄂CB0276052,湖北同济堂药房有限公司白玉山药店,青山区,由湖北同济堂药房有限公司统一配送,2020-11-01,武汉市青山区食品药品监督管理局,武汉市青山区白玉山街康宁路18号,20160905,处方药(禁止类除外)、非处方药(甲类、乙类)、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、不含冷藏冷冻药品******,陶东
----,张艳,鄂CB0271150,武汉市好药师马祖路大药房有限公司,江岸区,----,2019-09-17,武汉市江岸区食品药品监督管理局,武汉市江岸区马祖路107号,20160905,处方药(禁止类除外)、非处方药（甲类、乙类）、（含冷藏冷冻药品）、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,张柄华
***,谷望辉,鄂CB0272357,湖北金药堂大药房连锁有限公司友谊南路店,江汉区,由湖北金药堂大药房连锁有限公司统一配送,2020-08-11,武汉市江汉区食品药品监督管理局,江汉区清芬小区A区5栋1楼,20160905,处方药(禁止类除外)、非处方药;中药饮片;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)。******,饶慧琴
,张鹏,鄂CB0272172,湖北中联大药房连锁有限公司西马路分店,江岸区,,2020-11-18,武汉市江岸区食品药品监督管理局,武汉市江岸区解放大道1473-1481号,20160907,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,赵冬枝
***,戚江月,鄂CB0272336,湖北金药堂大药房连锁有限公司振兴路店,江汉区,由湖北金药堂大药房连锁有限公司统一配送,2020-06-16,武汉市江汉区食品药品监督管理局,武汉市江汉区航天花园101栋（览月阁）1层6室,20160905,处方药(禁止类除外)、非处方药；中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)。******,饶慧琴
***,江琳,鄂CB0272264,湖北金药堂大药房连锁有限公司万松园店,江汉区,由湖北金药堂大药房连锁有限公司统一配送,2019-10-22,武汉市江汉区食品药品监督管理局,江汉区新华小路71号,20160905,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)。******,饶慧琴
王昌勇,李迎春,鄂CB0271029,湖北中联大药房连锁有限公司怡康苑分店,江岸区,,2019-11-18,武汉市江岸区食品药品监督管理局,武汉市江岸区百步亭花园怡康苑501栋1层2号商铺,20160907,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,赵冬枝
赵涛,夏春,鄂DB0279023,武汉市江夏区医药公司纸坊大药房,江夏区,****,2021-03-17,武汉市江夏区食品药品监督管理局,江夏区纸坊街复江道政和花园一期商业、办公楼1栋1楼,20160907,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,周杨
***,张振涛,鄂CB0275543,武汉健康人大药房有限公司彭刘杨路店,江夏区,武汉健康人大药房有限公司统一配送,2020-06-24,武汉市江夏区食品药品监督管理局,武汉市江夏区经济开发区大桥新区大桥村联投广场商业区二期36单元1层98室,20160908,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,张长辉
——,张燕玲,鄂CB0276460,武汉璟泓万方堂大药房连锁有限公司街道口店,洪山区,由武汉璟泓万方堂大药房连锁有限公司统一配送,2021-09-07,武汉市洪山区食品药品监督管理局,洪山区珞瑜路赛博珞珈胡同商场一楼1F007号,20160908,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,张燕华
——,陈芳,鄂CB02713001,湖北益生天济大药房连锁有限公司金色城市店,洪山区,由湖北益生天济大药房连锁有限公司统一配送,2021-09-08,武汉市洪山区食品药品监督管理局,洪山区青菱乡长江村万科金色城市23号9、10号商铺一层15号,20160909,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,郑红云
胡丽娟,彭超,鄂CB0273515,湖北生达新世界大药房有限公司古田二路分店,硚口区,,2020-12-29,武汉市硚口区食品药品监督管理局,武汉市桥口区解放大道37号,20160913,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、除冷藏冷冻药品外***,刘立强
———,纪王英,鄂CB0273302,湖北金药堂大药房连锁有限公司长丰店,硚口区,湖北金药堂大药房连锁有限公司配送,2019-11-16,武汉市硚口区食品药品监督管理局,硚口区古田四路南区315栋7单元1层1、2号,20160913,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,饶慧琴
———,何丹凤,鄂CB0273308,湖北金药堂大药房连锁有限公司太平洋店,硚口区,湖北金药堂大药房连锁有限公司配送,2019-12-04,武汉市硚口区食品药品监督管理局,武汉市桥口区天行大厦1单元1层1楼,20160913,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,饶慧琴
———,冯莉华,鄂CB0277719,湖北金药堂大药房连锁有限公司武胜路旗舰店,硚口区,湖北金药堂大药房连锁有限公司配送,2017-11-22,武汉市硚口区食品药品监督管理局,武汉市硚口区中山大道264-282号,20160913,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,饶慧琴
***,陈晓珊,鄂CB0276469,湖北好健康医药连锁有限公司东原店,武昌区,由湖北好健康医药连锁有限公司配送,2021-09-13,武汉市武昌区食品药品监督管理局,武汉市武昌区团结路16号东原锦悦123号商铺一层,20160914,处方药(不含禁止类)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)、（不含冷藏冷冻药品）***,褚芸
童强胜,张倩睿,鄂DA0271373,武汉参松大药房有限公司,江岸区,,2020-02-27,武汉市江岸区食品药品监督管理局,武汉市江岸区兴业路东方花都海棠苑A区16栋1、2号,20160914,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,唐晓君
***,丁淑芬,鄂CB0276467,湖北心连心药房连锁有限责任公司百步亭店,江岸区,***,2021-09-13,武汉市江岸区食品药品监督管理局,武汉市江岸区百步亭花园温馨苑D区405栋1层2-6室,20160914,处方药(不含禁止类)、非处方药、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)。（含冷藏冷冻药品）***,肖国祥
——,陈骞,鄂CB0276364(更),武汉可旺健康药房有限公司柴林花园店,洪山区,——,2021-07-13,武汉市洪山区食品药品监督管理局,武汉市洪山区和平乡柴林头村柴林花园2-2-102,20160914,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,张筱冬
----,王萍,鄂CB0271277,武汉普安药房有限公司二七店,江岸区,由武汉普安药房有限公司统一配送,2021-09-13,武汉市江岸区食品药品监督管理局,武汉市江岸区解放大道2159号汉口东部购物公园C6栋一层6110铺,20160914,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、（含冷藏冷冻药品）***,王雪琴
蔡庆华,周澜,鄂DB0279605,武汉市黄陂区滠口康源堂大药房五湖店,黄陂区,,2021-01-27,武汉市黄陂区市场监督管理局,武汉市黄陂区武湖农场梅教街19号,20160914,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,金芬
,肖红,鄂DB0279574,武汉市黄陂区滠口爱健大药房,黄陂区,,2019-11-06,武汉市黄陂区市场监督管理局,武汉市黄陂区滠口街万博庭苑6号楼1号门面,20160914,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,操原姣
戴峻,胡佳,鄂DB0271378,武汉科海园大药房有限公司惠济店,江岸区,,2020-05-10,武汉市江岸区食品药品监督管理局,武汉市江岸区惠济路3号,20160919,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,郑巍
余友明,顾木林,鄂DA0276472,武汉德利生大药房有限公司,江夏区,***,2021-09-18,武汉市江夏区食品药品监督管理局,武汉市江夏区大桥新区办事处大桥社区13号1层2号,20160919,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,唐为
***,黄敏,鄂CB0276468,武汉修正堂大药房连锁经营有限公司薛峰店,经济技术开发区（汉南区）,由武汉修正堂大药房连锁经营有限公司统一配送,2021-09-13,武汉经济技术开发区（汉南区）行政审批局,武汉经济技术开发区38R2地块薛丰小区商铺（三）24号,20160914,处方药(不含禁止类)、非处方药：中成药、化学药制剂、抗生素制剂、生化药品（不含冷藏冷冻药品）***,杨良平
邵金娥,杨峰,鄂DA0274404,武汉天天欣大药房有限公司,汉阳区,***,2020-07-05,武汉市汉阳区食品药品监督管理局,武汉市汉阳区七里晴川605栋2-1、2-2、2-3号,20160919,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)(含冷藏药品)***,沈小利
方维超,刘东,鄂DA0276475,武汉好药师同安家园大药房有限公司,江岸区,***,2021-09-19,武汉市江岸区食品药品监督管理局,武汉市江岸区同安家园一期3栋1层商6、7室,20160920,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,周霞
代凯丰,史璇,鄂DA0276471,宝葫芦大药房（武汉）有限公司德玛假日店,东西湖区,***,2021-09-18,武汉市东西湖区食品药品监督管理局,武汉市东西湖区径河街办事处美联•德玛假日一期7、8号楼一层商6、7铺（10）,20160919,处方药(不含禁止类与限制类药品)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（不含冷藏冷冻药品）***,罗霞
***,彭纯,鄂CB0272363,国药控股（湖北）汉口大药房有限公司亚心店,江汉区,由国药控股（湖北）汉口大药房有限公司统一配送,2020-08-31,武汉市江汉区食品药品监督管理局,武汉市江汉区解放大道836号1层及838号1-2层,20160919,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)。******,罗顺德
***,陈素珍,鄂DB0274177,武汉市汉阳区创业园大药房,汉阳区,***,2021-09-18,武汉市汉阳区食品药品监督管理局,武汉市汉阳区永丰街四台创业园,20160919,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)（不含冷藏冷冻药品）***,林丽
———,严书超,鄂CB0276477,湖北益生天济大药房连锁有限公司集贤路店,硚口区,湖北益生天济大药房连锁有限公司配送,2021-09-20,武汉市硚口区食品药品监督管理局,武汉市硚口区集贤路2号1层6号-1,20160921,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品（不含冷藏冷冻药品）***,郑红云
***,徐春燕,鄂CB0276476,湖北益生天济大药房连锁有限公司芳草西路店,汉阳区,由湖北益生天济大药房连锁有限公司统一配送,2021-09-20,武汉市汉阳区食品药品监督管理局,武汉市汉阳区芳草路76号和昌森林湖17、18、19栋1-2层11室,20160921,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏药品）***,郑红云
***,王海林,鄂CB0276354,老百姓大药房连锁（湖北）有限公司武汉建桥...,汉阳区,由老百姓大药房连锁（湖北）有限公司统一配送,2021-07-11,武汉市汉阳区食品药品监督管理局,武汉市汉阳区建桥新村72号66幢1层,20160921,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏药品）***,杨芬
***,任红平,鄂CB0271021,湖北中联大药房连锁有限公司九全嘉分店,江夏区,湖北中联大药房连锁有限公司统一配送,2019-12-12,武汉市江夏区食品药品监督管理局,武汉市江夏区纸坊江夏大道与北华街交汇处九全嘉国际广场负1层116号商铺,20160921,处方药(不含禁止类)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,赵冬枝
——,王梓,鄂CB0277057,湖北金药堂大药房连锁有限公司鲁磨路店,洪山区,由湖北金药堂大药房连锁有限公司统一配送,2019-10-12,武汉市洪山区食品药品监督管理局,武汉市洪山区东湖开发区鲁磨路当代大厦,20160922,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,饶慧琴
———,高洁,鄂DB0273514,湖北同济堂药房有限公司城市花园药店,硚口区,———,2020-12-30,武汉市硚口区食品药品监督管理局,武汉市硚口区2008城市花园1幢1-12号,20160921,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、除冷藏冷冻药品外***,肖艳萍
唐敦军,白海燕,鄂DB0273428,武汉福恒生医疗护理用品连锁有限公司,硚口区,———,2020-09-20,武汉市硚口区食品药品监督管理局,武汉市硚口区解放大道1131号,20160922,处方药(禁止类与限制类药品除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,康倩
裴海清,黄小昆,鄂CA0276481,武汉市永生公大药房连锁有限公司奥莱之星药...,黄陂区,***,2021-09-22,武汉市黄陂区市场监督管理局,武汉市黄陂区盘龙城经济开发区盘龙大道汉口湖畔三期5号楼1楼8-9号商铺,20160923,处方药(不含禁止类)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,裴海清
___,罗咏梅,鄂CB0275037,武汉马应龙大药房连锁股份有限公司千家街药...,武昌区,由武汉马应龙大药房连锁股份有限公司配送,2020-01-22,武汉市武昌区食品药品监督管理局,武汉市武昌区千家街千鑫花园三、四号楼一层（中百超市内）,20160926,处方药、非处方药（甲类、乙类）：中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏药品***,夏瑛
杜勇,夏光鹋,鄂DB0271022,武汉市江岸区长生大药房,江岸区,无,2021-09-25,武汉市江岸区食品药品监督管理局,武汉市江岸区三眼桥路134号澳门苑2单元1层8、9室,20160926,处方药(禁止类除外)、非处方药（甲类、乙类）、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)。（不含冷藏冷冻药品）***,宗璇
----,王莉,鄂CB0276214,湖北智仁大药房有限公司钢城店,青山区,由湖北智仁大药房有限公司统一配送,2020-08-30,武汉市青山区食品药品监督管理局,武汉市青山区25街坊康盛大厦1层10号,20160926,处方药(禁止类除外)、非处方药(甲类、乙类)、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏冷冻药品******,余建新
彭涛,罗贤,鄂DA0276483,武汉市汇佳大药房有限公司,汉阳区,***,2021-09-25,武汉市汉阳区食品药品监督管理局,武汉市汉阳区四新地区金地城J8地块三期第E-25幢1-2层2号房,20160926,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)（含冷藏药品）***,彭瑾
----,邹娟,鄂CB0276485,湖北中联大药房连锁有限公司园林路分店,青山区,由湖北中联大药房连锁有限公司统一配送,2021-09-25,武汉市青山区食品药品监督管理局,武汉市青山区奥山世纪城K-1-2第C7幢1单元1层3号商铺,20160926,处方药(禁止类除外)、非处方药(甲类、乙类)、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏冷冻药品******,赵冬枝
***,言慧洁,鄂CB0272287,湖北智仁大药房有限公司万年街店,江汉区,由湖北智仁大药房有限公司统一配送,2019-12-22,武汉市江汉区食品药品监督管理局,武汉市江汉区万年街12号,20160926,处方药(禁止类除外)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,余建新
***,赵国玺,鄂CB0272288,湖北智仁大药房有限公司民族路店,江汉区,由湖北智仁大药房有限公司统一配送,2019-12-22,武汉市江汉区食品药品监督管理局,武汉市江汉区民族路87-1号,20160926,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,余建新
***,彭元秀,鄂CB0276482,湖北益生天济大药房连锁有限公司吴中街店,东西湖区,由湖北益生天济大药房连锁有限公司统一配送,2021-09-25,武汉市东西湖区食品药品监督管理局,武汉市东西湖区吴东路2号嘉禾园1栋15号门面,20160926,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,郑红云
***,杨频,鄂CB0272361,湖北智仁大药房有限公司燕马巷店,江汉区,由湖北智仁大药房有限公司统一配送,2020-08-15,武汉市江汉区食品药品监督管理局,武汉市江汉区前进一路东侧万科金色家园二期1、2栋03、04室,20160926,处方药(禁止类除外)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,余建新
胡军祥,郭德萍,鄂DA0276490,武汉市德御堂大药房有限公司,洪山区,——,2021-09-26,武汉市洪山区食品药品监督管理局,武汉市洪山区张家湾街烽胜路55号清能清江锦城K7地块第7幢1-2层商2、3号房,20160927,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（不含冷藏冷冻药品）***,陈福锋
——,李秦,鄂CB0277159,湖北人福药房连锁有限公司吴家湾店,洪山区,由湖北人福药房连锁有限公司统一配送,2020-02-14,武汉市洪山区食品药品监督管理局,关山街珞瑜路618号,20160927,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,范军
***,黎成钢,CB0275388,湖北智仁大药房有限公司武泰闸店,武昌区,湖北智仁大药房有限公司配送,2020-08-06,武汉市武昌区食品药品监督管理局,武汉市武昌区白沙洲街江民路202号,20160927,处方药、非处方药（甲类、乙类）：中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏药品***,余建新
***,许凡桂,鄂CB0276488,湖北心连心药房连锁有限责任公司南郡帝苑店,江夏区,湖北心连心药房连锁有限责任公司统一配送,2021-09-26,武汉市江夏区食品药品监督管理局,武汉市江夏区纸坊街南郡帝苑2号楼1层7号,20160927,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,肖国祥
***,袁珊,鄂CB0276487,湖北美罗汇健康药房有限公司阳光花园店,江汉区,由湖北美罗汇健康药房有限公司统一配送,2021-09-26,武汉市江汉区食品药品监督管理局,武汉市江汉区阳光花园2栋1层7号商铺,20160927,处方药(不含禁止类)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品。（不含冷藏冷冻药品）***,王立优
***,黄金娥,鄂CB0279691,武汉市新洲区泰安堂大药房有限公司武湖连锁...,新洲区,***,2020-12-03,武汉市新洲区市场监督管理局,武汉市新洲区阳逻街武湖桥头村,20160927,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,刘凤先
***,胡晒喜,鄂CB0279809,武汉市新洲区泰安堂大药房有限公司松鹤堂药...,新洲区,***,2020-07-01,武汉市新洲区市场监督管理局,武汉市新洲区邾城街南安街286号（南濠村）,20160927,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,谢文歆
许传勇,周波,鄂CB0277155,湖北智仁大药房有限公司理工店,洪山区,由湖北智仁大药房有限公司统一配送,2020-02-11,武汉市洪山区食品药品监督管理局,武汉市洪山区珞狮南路洪达街博文花园商铺105号,20160927,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,余建新
——,胡钰,鄂CB0276491,湖北益生天济大药房连锁有限公司雍华府店,洪山区,由湖北益生天济大药房连锁有限公司统一配送,2021-09-27,武汉市洪山区食品药品监督管理局,洪山区珞梁路与南湖路交叉口雍华府三期7幢2单元1层12-13号房,20160928,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,郑红云
邵金军,韩俊,鄂CB0271170,湖北金药堂大药房连锁有限公司循礼门店,江岸区,,2020-03-19,武汉市江岸区食品药品监督管理局,武汉市江岸区解放大道520号,20160929,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,饶慧琴
,彭慧,鄂CB0271283,湖北金药堂大药房连锁有限公司劳动街店,江岸区,,2020-09-28,武汉市江岸区食品药品监督管理局,武汉市江岸区解放大道1773-1775号1层2-8室,20160929,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,饶慧琴
——,王秀玲,鄂CB0275302,武汉市德康大药房有限公司祥和分店,武昌区,由武汉市德康大药房有限公司配送,2020-12-29,武汉市武昌区食品药品监督管理局,武汉市武昌区南湖花园祥和苑经典家园1号,20160929,处方药、非处方药（甲类、乙类）：中成药、化学药制剂、抗生素制剂、生化药品、不含冷藏药品******,余进
,王婷,鄂CB0271112,武汉市三九物流有限公司永康药店,江岸区,,2019-12-08,武汉市江岸区食品药品监督管理局,武汉市江岸区百步亭花园路203号后湖大道华润苏果超市内1001-1006#,20160929,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,刘进波
--,金娟,鄂CB0275577,老百姓大药房连锁（湖北）有限公司武汉得胜...,武昌区,由老百姓大药房连锁（湖北）有限公司统一配送,2020-11-24,武汉市武昌区食品药品监督管理局,武汉市武昌区中山路102号1层部分,20160929,处方药、非处方药(甲类、乙类）;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗)。含冷藏冷冻药品***,杨芬
,邵波,鄂CB0271171,武汉市三九物流有限公司岱家山药店,江岸区,,2020-01-20,武汉市江岸区食品药品监督管理局,武汉市江岸区汉黄路887号1楼8、9号,20160929,中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,刘进波
,刘旭方,鄂CB0271377,武汉市三九物流有限公司怡康分店,江岸区,,2020-05-10,武汉市江岸区食品药品监督管理局,武汉市江岸区解放大道758-770号,20160929,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,高志坚
,陈红燕,鄂CB0271018,武汉市三九物流有限公司三九中草药店,江岸区,,2019-12-09,武汉市江岸区食品药品监督管理局,武汉市江岸区解放大道1006号,20160929,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,刘进波
,杜一鸣,鄂CB0271008,武汉市三九物流有限公司三九开泰源药店,江岸区,,2019-12-08,武汉市江岸区食品药品监督管理局,武汉市江岸区永清路61号,20160929,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,刘进波
,闻永慧,鄂CB0271019,武汉市三九物流有限公司三九久恒兴药店,江岸区,,2020-01-20,武汉市江岸区食品药品监督管理局,武汉市江岸区百步亭温馨苑AB210-8号,20160929,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,刘进波
——,余建萍,鄂CB0275580,老百姓大药房连锁（湖北）有限公司武汉长湖...,武昌区,由老百姓大药房连锁（湖北）有限公司统一配送,2020-12-10,武汉市武昌区食品药品监督管理局,武汉市武昌区首义小区43栋-1层1号,20160929,处方药、非处方药（甲类、乙类）：中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品（除疫苗）、含冷藏药品******,杨芬
,刘莉,鄂CB0279395,武汉泽仁堂药房连锁有限公司双凤店,黄陂区,,2020-08-31,武汉市黄陂区市场监督管理局,前川街双凤大道603号,20160930,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,张彦
胡新萍,朱德香,鄂BA0276500,湖北新特药大药房连锁有限责任公司,硚口区,湖北明天医药有限责任公司配送,2021-09-29,武汉市硚口区食品药品监督管理局,武汉市硚口区宝丰街道航空路1-3号（2栋3楼左侧）,20160930,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)、（含冷藏冷冻药品）***,潘红涛
———,左梦琪,鄂CB0276504,武汉康每乐药房有限公司团结佳兴园店,硚口区,武汉康每乐药房有限公司配送,2021-10-07,武汉市硚口区食品药品监督管理局,武汉市硚口区长丰村汉丹铁路以南华生·汉口城市广场南区D4栋1-2层3室,20161008,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品（不含冷藏冷冻药品）***,刘涛
程满,熊文妍,鄂DA0276499,好心康大药房（武汉）有限责任公司,江岸区,***,2021-09-29,武汉市江岸区食品药品监督管理局,武汉市江岸区保成路118号9栋1-5层1室,20160930,处方药(不含禁止类)、非处方药(甲类、乙类)、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏冷冻药品***,王耀华
——,刘维,鄂CB0275552,武汉璟泓万方堂大药房连锁有限公司中北路店,武昌区,由武汉璟泓万方堂大药房连锁有限公司配送,2020-07-30,武汉市武昌区食品药品监督管理局,湖北省武汉市武昌区中北路23号1818中心8栋楼一层L-002号左侧商铺,20161008,处方药、非处方药（甲类、乙类）：中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏药品***,张燕华
